"id_loan","CurrentBalance","loan_age","delq_sts","Margin","countLatePayment","RefinanceRateRelativity","RealGDP","ChangeUnemploymentRate","CurrentLCV","fico","flag_fthb","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","loan_purpose","orig_loan_term","cnt_borr","flag_sc","customerFeedback","Churn","ZIP","Latitude","Longitude"
"F109Q1125018","177000","2","0","-0.9500000000000002","0","-0.10625892077959875","-0.5","1","-273.2500000000001","782","N","NA","0","1","P","61","48","178000","61","5","C","N","FRM","MT","SF","N","360","2","NA","we contacted the banks we do business with all of them except for  were super helpful.  kept her on hold for over an hour and ultimately refused to suspend the card. we spoke with supervisors and other groups nobody could assist","No","59701","46.035043","-112.47572"
"F108Q2121483","413005.68","9","0","0.2999999999999998","0","-0.17046731468102827","-5.4","1.4000000000000004","-1041.0354424999998","784","N","26900","0","1","P","54","17","417000","54","5.75","T","N","FRM","IN","PU","N","360","2","NA","","Yes","46001","40.251414","-85.658072"
"F110Q4150868","295127.88","7","0","-0.75","0","0.7399097206587815","0.8","-0.09999999999999964","-2954.663258333333","791","9","41740","0","1","P","52","17","300000","52","4","C","N","FRM","CA","SF","C","360","2","NA","","No","92101","32.724103","-117.170912"
"F112Q3086691","415000","2","0","0.04999999999999982","0","-0.49088819089695823","0.1","-0.20000000000000018","121.04166666666654","777","N","35004","30","1","P","95","36","416000","95","4","R","N","FRM","NY","SF","P","360","2","NA","i am writing to let you know that i did not solicit this credit card account from your bank ; i did not authorize this account to be opened ; and i was not notified that this account was opened. this was done without my foreknowledge or approval. furnish me proof that such action has been taken with the  major agencies","No","11501","40.746286","-73.638905"
"F107Q2341760","108988.6","39","0","0.875","0","-1.6505210620500224","2.5","0","208.5786191666665","784","N","40900","0","1","I","48","48","120000","48","6.125","R","N","FRM","CA","CO","C","240","1","NA","","Yes","95601","38.426699","-120.825717"
"F111Q3236738","246000","4","0","-0.8499999999999996","0","0.40684914461925237","2.7","-0.29999999999999893","-877.6249999999995","743","9","19380","0","1","P","75","37","250000","75","3.5","R","N","FRM","OH","SF","N","180","2","NA","","No","45301","39.711329","-84.02221"
"F103Q3468850","142620.63","10","0","-0.9000000000000004","2","0.16400734193523903","3.7","-0.1999999999999993","-1182.7601625000002","675","N","38060","25","1","P","90","15","144000","90","5.75","T","N","FRM","AZ","PU","C","360","1","NA","","No","85201","33.433545","-111.8504"
"F112Q4006677","61800.75","25","0","-1.125","0","0.9753154907777635","2","-0.10000000000000053","-2106.4131189583336","761","N","16974","30","1","P","95","30","65000","95","3.125","R","N","FRM","IL","SF","P","360","1","NA","","No","60401","41.343966","-87.616389"
"F101Q3281371","145000","0","0","-0.5499999999999998","0","0.22781536579942152","-1.3","0.39999999999999947","-66.45833333333331","736","N","22420","0","1","P","77","15","145000","77","7","T","N","FRM","MI","SF","N","360","2","NA","","No","48401","43.347342","-82.670591"
"F101Q4413805","177000","4","0","-0.6500000000000004","1","-0.0688354761811718","2.2","0.09999999999999964","-481.0000000000003","731","N","46220","6","1","P","85","25","178000","85","7","R","N","FRM","AL","SF","N","360","2","NA","","Yes","35401","33.170238","-87.616169"
"F112Q4259635","74000","4","0","-1.2500000000000004","0","0.44148883107125725","2.8","-0.09999999999999964","-365.4583333333334","797","9","NA","0","1","I","70","12","76000","70","2.9","R","N","FRM","WI","SF","N","180","2","NA","","No","53801","42.924819","-91.074574"
"F114Q3262615","160926.86","22","0","0.3999999999999999","0","-0.46325104682667817","3.5","0","-223.03622083333332","744","Y","29540","30","1","P","95","38","166000","95","4.25","R","N","FRM","PA","SF","P","360","2","NA","since then i have never received it by mail even though i requested it several times. every quarter they claim to change my delivery preferences but i never ever get it! i believe it is a deliberate attempt to force me into agreeing to their online  which requires me to relinquish several of my rights. there is a retirement fund ( which i can not close ) which donations are made to ( which i can not move ) and all of it gets taken by  for  bookkeeping fees","No","17501","40.156459","-76.20404"
"F108Q2056466","487000","6","0","-0.4500000000000002","0","0.8151459962032321","-8.2","0.9000000000000004","-2103.166666666666","703","N","NA","0","1","P","59","24","492000","59","5.5","T","N","FRM","HI","SF","C","360","2","NA","i continue to call and they continue to extend the time in which they claim they ll respond.  i fail to see how it could take so long. i am at my wit s end so any helpful from your office would be very much appreciated","No","96701","21.406053","-157.884952"
"F104Q2233278","102029.99","25","0","-1.625","0","0.8948698131922628","0.4","0","-2606.3611075000003","772","N","36740","0","1","P","60","46","105000","60","5.625","R","N","FRM","FL","PU","P","360","2","NA","","No","32801","28.541774","-81.374351"
"F110Q2065510","229000","2","0","-0.15000000000000036","0","-0.12730421048299156","2.7","-0.09999999999999964","-220.29166666666674","799","N","42644","0","1","P","61","38","230000","61","5","R","N","FRM","WA","SF","P","360","1","NA","","Yes","98101","47.610902","-122.336422"
"F114Q1023176","118000","3","0","-0.20000000000000018","0","-0.3426637988470782","4","-0.5","-98.33333333333334","759","N","29820","0","1","P","71","36","118000","71","4.75","R","N","FRM","NV","PU","P","360","2","NA","","No","89001","37.276925","-115.394121"
"F102Q2245412","150313.03","13","0","0.34999999999999964","0","-1.5186231428806636","6.9","0","918.6042541666667","704","N","NA","30","1","P","95","17","152000","95","7","R","N","FRM","WV","SF","P","360","2","NA","","No","26101","39.240324","-81.575872"
"F106Q1137641","139736.21","24","0","-0.09999999999999964","0","-0.513913011979283","2","0.2999999999999998","-2035.9126908333337","742","Y","41180","0","1","P","89","30","143000","80","6.25","R","N","FRM","MO","SF","P","360","2","NA","i settled a debt with  previously with a 3rd party debt collector on behalf of  and then instead of closing the debt they sent the remaining balance from the original amount to another debt collector who reported to the credit bureaus that the debt was a new debt. i have a settlement letter from the first debt collection agency stating that i settled the amount. my credit was affected by this and i am extremely unhappy and would like  to erase this issue from my credit report completely.","No","63101","38.631558","-90.19261"
"F105Q2217504","69699.33","30","0","0.8499999999999996","0","-0.6127748676446583","-2.7","0.20000000000000018","67.47392124999992","749","Y","22744","25","1","P","88","41","72000","88","7","R","N","FRM","FL","CO","P","360","1","NA","","No","33301","26.121323","-80.127909"
"F105Q3084788","240000","6","0","-1.0750000000000002","0","0.3399452180726037","4.9","-0.2999999999999998","-1369.3749999999998","703","N","NA","27","1","P","87","28","242000","87","5.875","R","N","FRM","IN","SF","N","360","2","NA","","No","46501","41.223031","-86.246291"
"F111Q4242952","398000","4","0","-0.5499999999999998","0","0.1988520944238319","1.9","-0.10000000000000142","-1221.6666666666663","672","9","11244","0","1","P","68","45","405000","68","3.5","R","N","FRM","CA","SF","N","180","2","NA","","No","92801","33.844983","-117.952151"
"F101Q3212209","272567.68","12","0","0.5","0","-0.38019163180656435","2","-0.09999999999999964","-525.9392833333335","727","N","16974","0","1","P","74","42","275000","74","7.25","T","N","FRM","IL","SF","P","360","2","NA","","Yes","60101","41.930516","-88.016937"
"F112Q4225638","362711.16","44","0","-0.10000000000000009","0","-0.024794244478332672","3.5","0","-10705.342215","810","9","47894","0","1","P","79","39","390000","79","3.75","C","N","FRM","VA","SF","N","360","1","NA","","No","22201","38.886565","-77.095231"
"F113Q4061042","202000","3","0","-0.4249999999999998","0","-0.18507197241218964","-1.2","-0.20000000000000018","-286.52083333333326","748","9","27340","0","1","P","78","31","203000","78","4.625","R","N","FRM","NC","PU","N","360","1","NA","","No","28501","35.242318","-77.514151"
"F106Q3033225","412268.55","7","0","-0.17499999999999982","0","-0.7167330649230514","0.2","0.09999999999999964","-517.2058302083333","623","N","16974","0","1","P","80","44","415000","80","6.875","R","N","FRM","IL","SF","P","360","2","NA","i do not owe anything to retailer s. i spoke to the fraud department that had no record of my issues with this fraudulent account. as of now the issue is still not resolved","Yes","60401","41.343966","-87.616389"
"F114Q1003699","210885.52","9","0","-0.04999999999999982","0","-0.26964892716898436","2.3","-0.39999999999999947","-584.4748954166666","723","N","28140","30","1","P","95","31","214000","95","4.5","B","N","FRM","MO","SF","P","360","1","NA","i had a secure card with  where i had to pay them $5.} dollars for a $5.} dollar line of credit to establish business credit. i call customer service again and they say the only thing they can do is have another check mailed. giving that i went through giving the correct address two separate occasions once on the phone and once in person and the check is still being sent to the wrong place shows something is wrong internally and i should not have to wait months and months for money i had to give","Yes","64001","39.114216","-93.540908"
"F100Q4066209","145000","2","0","0.4500000000000002","0","-0.0642311573960841","-1.1","0.30000000000000027","42.29166666666652","692","N","26900","30","1","P","95","52","145000","95","8","T","N","FRM","IN","SF","P","360","2","NA","i made a payment to my  credit card account that is managed by . i used their automated telephone payment service and paid $75.}. i told them it was going to make me broke and they offered no quicker of a solution.","Yes","46201","39.774142","-86.1092"
"F103Q1013204","132946.26","9","0","-0.5999999999999996","0","0.2529873487652612","2.3","-0.09999999999999964","-767.9696175000001","729","N","NA","0","1","P","80","29","134000","80","5.75","R","N","FRM","IL","SF","P","360","2","NA","","No","61001","42.465816","-90.110232"
"F102Q4148820","248409.3","7","0","-0.6749999999999998","0","0.4650629010832761","3.8","0.1999999999999993","-1580.4177312499999","787","N","35840","0","1","S","80","42","250000","80","5.375","T","N","FRM","FL","SF","P","360","2","NA","","Yes","34201","27.40168","-82.468524"
"F105Q3251019","345107.08","29","0","-0.7750000000000004","0","0.6415730586690902","-2.7","0.20000000000000018","-13868.23375875","749","N","12220","0","1","P","76","37","358000","76","5.375","T","N","FRM","AL","SF","C","360","2","NA","this has been happening for about 3 years i went to a wf office in  virginia with printed email to ask about these but they said there were no accounts under my name. i used to have a home resolved and i believe a checking account that only lived for a short period. i do nt believe my credit report shows any accounts currently open with  but since i just found out about a scheme at wf were they were opening fake accounts for customers i have decided to report this since i do nt want my name asso","Yes","36801","32.694763","-85.395626"
"F107Q3153949","76609.27","72","2","3.55","14","-4.58882820864854","3.1","-0.20000000000000018","15198.27017125","609","9","NA","25","1","P","95","32","81000","90","8.5","T","N","FRM","NC","SF","N","360","2","NA","","No","28101","35.258099","-81.078063"
"F115Q2097839","267487.49","13","0","-0.8500000000000001","0","0.8081517590638789","3.5","0","-4196.528787083333","660","N","40060","0","1","P","80","40","284000","80","3","R","N","FRM","VA","PU","P","180","1","NA","now i can not access my balance or schedule payments because i can not access my account online. i have to wait for them to send me a monthly statement in the mail ( and they do nt even provide a mailing envelope anymore! ). i feel this is an underhanded attempt to get people to mail in payments late so that they can collect more late fees off account holders who no longer shop with their credit cards","No","23801","37.235551","-77.335396"
"F113Q2380163","491479.16","33","0","-1.1749999999999998","0","1.1297164802782538","1.4","0","-27037.9223725","788","9","47894","0","1","P","58","31","580000","58","2.875","R","N","FRM","VA","SF","N","180","2","Y","our card number which  drafted our  payment changed we registered the new card number and  drafted the payment prior to   leaving our account current. i live in  but went to  to be with my grands.  apologized and said if we made the $440.} payment they would reinstate my account reduce the interest rate and start back to take the automatic drafts out of our account again i immediately paid the $440.} requested to reinstate the account","No","22101","38.940203","-77.164882"
"F114Q1088629","69804.54","28","0","0.8999999999999999","0","-0.9418482409361211","3.5","0","475.7713416666667","811","9","38060","0","1","S","80","26","73000","80","4.75","R","N","FRM","AZ","MH","P","360","1","NA","","Yes","85201","33.433545","-111.8504"
"F102Q4016890","122226.1","38","0","-1.0750000000000002","0","0.2195010738120713","4.9","-0.2999999999999998","-2878.127594791667","697","N","NA","25","1","P","90","56","131000","90","5.875","R","N","FRM","OR","SF","N","360","2","NA","","No","97801","45.670806","-118.823573"
"F101Q2345780","253000","3","0","1.4500000000000002","0","-1.7721846342005785","-1.3","0.39999999999999947","1182.9166666666667","630","N","40900","30","1","P","95","25","254000","95","9","T","N","FRM","CA","SF","P","360","1","NA","","Yes","95601","38.426699","-120.825717"
"F105Q1016398","89815.29","46","0","-0.07500000000000018","2","0.26210177488516706","-8.2","0.9000000000000004","-3142.46221375","603","N","NA","0","1","P","56","46","95000","56","5.875","T","N","FRM","MO","SF","C","360","2","NA","thereafter repeatedly promised ( in recorded telephone conversations ) to make good on the obligation it inherited from   and complete the $10.} credit forthwith.  inexplicably has repeatedly failed and now refused to complete the promised credit in violation of both its agreement to do so and in default of    similar promise to which  succeeded to. his promised response was never forthcoming and his failure and refusal to return telephone calls confirms  s continuing bad faith in this matter","No","65601","37.539863","-93.588003"
"F100Q4113206","100000","6","0","0.125","0","-0.8008045492626819","2.1","0.20000000000000018","97.91666666666664","788","N","14540","0","1","P","68","44","100000","68","7.875","R","N","FRM","KY","SF","P","360","1","NA","","Yes","42101","37.058097","-86.463061"
"F102Q2273194","143000","5","0","0.3250000000000002","0","-0.6936439454852454","0.3","0.20000000000000018","161.72916666666674","714","N","16974","0","1","P","80","37","144000","80","6.875","T","N","FRM","IL","SF","P","360","2","NA","","Yes","60401","41.343966","-87.616389"
"F105Q3219446","179697.01","40","0","-0.7000000000000002","0","0.8871017748851671","-8.2","0.9000000000000004","-9743.287490833334","753","9","17900","0","1","P","80","26","195000","80","5.25","T","N","FRM","SC","SF","N","360","2","NA","","Yes","29001","33.786644","-80.174065"
"F105Q1210167","206457.83","7","0","-1.0999999999999996","0","0.0610303993593746","2.3","0","-1157.0030108333333","643","N","44700","0","1","P","60","28","208000","60","5.75","T","N","FRM","CA","PU","C","360","2","NA","","No","95301","37.321233","-120.654395"
"F109Q4069534","408476.57","8","0","-0.15000000000000036","0","-0.12730421048299156","2.7","-0.09999999999999964","-2483.9329275000005","747","N","41180","0","1","P","90","42","413000","75","5","R","N","FRM","IL","SF","N","360","2","NA","","Yes","62001","38.881444","-89.744999"
"F102Q2144855","215317.67","19","0","0.22499999999999964","2","-0.873496300764983","4.8","-0.2999999999999998","883.5630652083329","665","N","NA","25","1","P","93","35","219000","93","6.875","T","N","FRM","PA","PU","N","360","2","NA","","Yes","18301","41.042703","-75.175581"
"F116Q3150142","82000","1","0","0.2999999999999998","0","-1.1173537903418147","3.1","-0.20000000000000018","81.99999999999999","807","9","41700","0","1","I","80","38","82000","80","4.75","R","N","FRM","TX","SF","P","360","1","NA","","No","78201","29.468413","-98.528889"
"F111Q3131675","332000","5","0","0.40000000000000036","0","-0.9217566771498311","2.7","-0.29999999999999893","666.0000000000006","786","9","36084","0","1","I","80","47","334000","80","4.75","B","N","FRM","CA","SF","P","360","2","NA","","No","94501","37.773793","-122.278115"
"F101Q2232454","139889.2","11","0","-0.7750000000000004","0","0.06385666952393532","2.2","0.09999999999999964","-974.8639845833334","678","9","38060","0","1","P","79","42","142000","79","6.875","R","N","FRM","AZ","SF","C","360","1","NA","","No","85201","33.433545","-111.8504"
"F109Q2540274","185703.2","18","0","-0.5","0","-0.44389813123838895","2.5","0","-3388.4034333333334","800","9","32820","0","1","P","38","15","215000","38","4.75","C","N","FRM","TN","PU","N","180","2","NA","","Yes","38001","35.81629","-89.159971"
"F105Q3299561","122000","1","0","-0.9749999999999996","0","-0.0639696006406254","2.3","0","-198.24999999999991","727","N","NA","0","1","P","100","46","122000","80","5.875","T","N","FRM","IL","SF","P","360","1","NA","","No","62901","37.739004","-89.209109"
"F108Q1016436","140268.73","28","0","0.025000000000000355","0","-0.9218535467580287","3.9","-0.20000000000000107","-487.25846145833333","658","N","NA","0","1","P","66","39","145000","66","5.875","T","N","FRM","GA","SF","N","360","2","NA","","Yes","31001","31.976256","-83.339665"
"F115Q4100719","410000","5","0","-0.4249999999999998","0","0.2369793403782845","1.4","0","-1217.9375","763","N","26820","30","1","P","95","35","413000","95","3.625","R","N","FRM","ID","PU","P","360","2","NA","","No","83401","43.542409","-111.877936"
"F100Q4028459","237521","9","0","0.025000000000000355","0","-0.23429126163958358","1.1","0.7000000000000002","-427.1481062499997","700","N","34980","0","1","P","80","50","239000","80","7.375","R","N","FRM","TN","SF","P","360","1","NA","","Yes","37201","36.166001","-86.777305"
"F108Q3012655","111000","6","0","1.0499999999999998","0","-0.9204673146810283","-5.4","1.4000000000000004","376.25","805","Y","NA","0","1","P","56","49","112000","56","6.5","C","N","FRM","KS","PU","P","360","1","NA","complaint :  checking account service denying my $4.} cash bonus on    i open a  s  checking to earn $4.} cash bonus with promotion code  through . however it took them 25 days to identify the error. if i checked an extra box i put my signature there not somebody else","Yes","67101","37.785277","-97.464182"
"F110Q3079087","72531.99","29","0","0.7249999999999996","0","-1.5102460623659248","2.8","-0.09999999999999964","372.8061793750001","738","9","40140","12","1","S","85","30","76000","85","4.875","C","N","FRM","CA","SF","P","360","1","NA","","No","92501","33.99504","-117.373184"
"F109Q1393076","96635.98","27","0","0.375","0","-0.38509027934121853","0.8","-0.09999999999999964","-1334.102431666667","758","N","34980","0","1","P","46","40","100000","46","5.125","C","N","FRM","TN","SF","P","360","1","NA","i was close to my hotel so parked the vehicle and called/email  to get a replacement as i was scared to drive the vehicle as i felt it was unsafe. when i returned the vehicle i told attendant about the problem.  contacted me after my return home and offered a free one day rental of which i told them that was unacceptable considering the vehicle was not safe.i have been issued a provisional credit by  but they havent taken any action on a permanent decision","No","37201","36.166001","-86.777305"
"F105Q4101309","241205.27","38","0","0.04999999999999982","0","0.753438316334643","-5.4","1.4000000000000004","-10040.240660000001","785","N","47644","0","1","P","80","22","253000","80","5.5","T","N","FRM","MI","SF","P","360","2","NA","","No","48301","42.5424","-83.282168"
"F105Q3173139","86841.47","12","0","-1.625","0","0.9860595075717837","0.4","0","-1327.7176870833334","768","Y","22500","0","1","P","100","29","88000","80","5.625","R","N","FRM","SC","SF","P","360","1","NA","","No","29501","34.205933","-79.82626"
"F102Q3063006","153000","6","0","0.2999999999999998","0","-0.6380491795891832","2.1","0","153.16666666666669","713","N","NA","25","1","P","95","25","154000","95","6.75","R","N","FRM","NC","PU","P","360","2","NA","","No","27501","35.484941","-78.68457"
"F115Q1275031","142000","3","0","-0.17499999999999982","0","-0.5262343638268505","2","-0.20000000000000018","-47.52083333333337","680","Y","47664","25","1","P","86","43","143000","86","4.375","B","N","FRM","MI","SF","P","360","2","NA","","No","48301","42.5424","-83.282168"
"F107Q4052043","403000","2","0","0.22499999999999964","0","0.012225132355341728","-2.7","0.20000000000000018","-109.60416666666707","769","N","42644","0","1","P","77","53","404000","77","6.375","T","N","FRM","WA","SF","P","360","2","NA","","No","98001","47.310617","-122.263291"
"F102Q1167713","141233.24","10","0","0.8250000000000002","0","-1.1936439454852454","0.3","0.20000000000000018","350.4779824999999","639","N","NA","30","1","P","95","40","143000","95","7.375","R","N","FRM","NC","SF","N","360","2","NA","","No","28501","35.242318","-77.514151"
"F109Q4166873","302562.86","10","0","-0.375","0","-0.568898131238389","2.5","0","-2116.823996041667","771","N","47644","17","1","P","90","39","306000","90","4.875","R","N","FRM","MI","SF","P","360","2","NA","","Yes","48301","42.5424","-83.282168"
"F111Q4263077","297984.2","9","0","-0.5750000000000002","0","0.13411180910304177","0.1","-0.20000000000000018","-1943.935884375","769","9","33460","0","1","P","73","26","353000","73","3.375","R","N","FRM","MN","SF","N","180","2","NA","","Yes","55401","44.984577","-93.269097"
"F107Q1074979","393955.76","29","0","-0.17499999999999982","0","-1.0661738968732566","1.3","0.29999999999999893","-5084.282965","717","N","19124","0","1","P","49","42","408000","49","5.875","T","N","FRM","TX","SF","N","360","2","NA","","Yes","75201","32.78776","-96.799427"
"F109Q1199556","135000","3","0","-0.4500000000000002","0","-0.6429706957846619","-0.5","1","-146.25000000000009","787","9","37964","0","1","P","69","15","135000","51","5.5","R","N","FRM","PA","SF","N","360","2","NA","there are many other problems with these transactions. delivery is still not complete and we have many damaged and missing items - they wo nt return our calls. there are  companies involved in this bloomingdales     and","Yes","18901","40.306267","-75.147144"
"F101Q3301701","138293.43","18","0","0.7000000000000002","0","-0.7670777733022929","3.8","0.1999999999999993","-586.4935350000002","653","N","33460","0","1","P","80","42","141000","80","6.75","T","N","FRM","MN","SF","P","360","1","NA","","Yes","55401","44.984577","-93.269097"
"F115Q2070768","148743.26","15","0","-0.8500000000000001","0","0.7867489531733218","3.5","0","-2639.6354575","809","Y","47894","0","1","P","80","40","160000","80","3","R","N","FRM","DC","CO","P","180","1","NA","","No","20001","38.910353","-77.017739"
"F105Q1088496","139181.44","13","0","-1.3250000000000002","0","0.5899452180726037","4.9","-0.2999999999999998","-1745.6215970833334","758","N","29460","25","1","S","90","46","141000","90","5.625","T","N","FRM","FL","PU","P","360","2","NA","","Yes","33801","28.035979","-81.899636"
"F102Q1286417","84326.31","9","0","0.2999999999999998","0","-0.6081116770224355","2.1","0","-127.8547858333334","742","N","15500","0","1","P","61","62","85000","61","6.75","R","N","FRM","NC","PU","P","360","1","NA","i immediately contacted the fraud department to make a claim for  unauthorized transactions. has declined  of the  unauthorized transactions stating that  i authorized the withdrawal of  of them. has fraudulently stated that  i authorized it  in order to deny refunding me $4.} plus the non-atm fee of $2.}","No","27201","36.034172","-79.484829"
"F105Q2043340","236121.34","16","0","-0.8250000000000002","0","0.528195552711261","3.2","-0.1999999999999993","-2858.0287745833334","761","N","NA","0","1","P","80","32","240000","80","6.125","R","N","FRM","MO","SF","N","360","2","NA","","No","65201","38.900944","-92.238425"
"F109Q1218462","176067.92","16","0","0.09999999999999964","0","-0.2580403610896358","2.7","-0.09999999999999964","-1659.5892158333334","768","9","35084","0","1","P","74","18","179000","74","5.25","R","N","FRM","PA","PU","N","360","1","NA","","No","18301","41.042703","-75.175581"
"F101Q4354240","58000","5","0","-0.9000000000000004","0","0.1811645238188282","2.2","0.09999999999999964","-246.50000000000009","761","N","33340","0","1","P","47","34","58000","47","6.75","T","N","FRM","WI","SF","C","360","1","NA","i applied for a   on  . as i read the letter it stated that they used experian as the cra to helpful them determine the application. i was already in the process of getting some things corrected on my credit reports","No","53001","43.607877","-88.055245"
"F102Q4330053","188645.27","7","0","-0.5250000000000004","0","-0.36990196162727873","6.9","0","-268.76147229166673","730","N","40900","0","1","P","74","33","190000","74","6.125","R","N","FRM","CA","SF","C","360","2","NA","","No","96101","41.452711","-120.53846"
"F105Q4391328","183000","4","0","-0.9500000000000002","0","-0.2325970010673286","1.2","-0.10000000000000053","-497.5416666666668","717","N","38900","0","1","P","65","33","184000","65","6.5","T","N","FRM","OR","SF","C","300","1","NA","","No","97201","45.507856","-122.690794"
"F104Q4185836","165210.4","27","0","-1.5250000000000004","0","0.6298624950478091","3.1","0","-5042.160823333334","723","N","17140","0","1","P","80","34","170000","80","5.625","T","N","FRM","OH","SF","P","360","2","NA","","No","45001","39.141445","-84.712238"
"F102Q1248127","224737.69","13","0","0.4500000000000002","0","-0.5170777733022929","3.8","0.1999999999999993","-927.4293345833336","787","9","19740","0","1","P","56","20","228000","56","6.5","R","N","FRM","CO","SF","C","360","2","NA","","Yes","80101","39.36503","-104.01917"
"F116Q1204669","87000","0","0","0","0","-0.1573811934631273","0.8","-0.09999999999999964","0","705","9","31084","0","1","P","55","15","87000","55","4.25","R","N","FRM","CA","SF","N","360","1","NA","i was averaging payments about every three months sometimes four months and sometimes they would add payments to the end of the loan to helpful me out. ex-husbands with power do nt need fuel like this. the vehicle has not been driven i have been advise that perhaps the person contacting them is not","No","93501","35.067111","-118.184941"
"F116Q1111446","261000","3","0","-0.9750000000000001","0","0.9331517590638789","3.5","0","-1373.3541666666665","799","N","NA","0","1","P","73","23","400000","73","2.875","R","N","FRM","MT","SF","P","180","2","NA","","Yes","59701","46.035043","-112.47572"
"F112Q1073531","129811.77","33","0","-0.375","0","0.22531549077776347","2","-0.10000000000000053","-2350.62548","798","9","NA","0","1","P","67","23","138000","67","3.875","R","N","FRM","IN","SF","N","360","2","NA","so i figured that it would be payed off in plenty of time. originally the credit card was a  credit card with  but a few months after i set this up they switched over to  . i am going to file a small claims suit against them this week and i would like to also file a complaint with this bureau","No","47201","39.158873","-85.993199"
"F113Q2261097","369402.35","15","0","-0.75","0","0.2781262259730024","5","-0.10000000000000053","-4400.8584025","782","9","28140","0","1","P","78","32","387000","78","4","R","N","FRM","MO","PU","N","240","2","NA","","Yes","64101","39.103463","-94.600614"
"F112Q2127649","131288.04","52","0","-0.4500000000000002","0","-0.3673537903418147","3.1","-0.20000000000000018","-2584.513266666667","739","Y","17140","30","1","P","94","37","143000","94","4","C","N","FRM","OH","PU","P","360","1","NA","unfortunately // i did nt receive my statement. i feel this late payment is unfair due to nonreceipt of statemen. i have been trying to get retailer s card services to correct this predatory act for almost 2 years to no avail.","Yes","45001","39.141445","-84.712238"
"F112Q4150129","105327.34","11","0","-1.4249999999999998","0","0.7794051027577726","4","-0.39999999999999947","-940.7428729166668","698","9","38900","0","1","P","18","22","109000","18","3.625","C","N","FRM","OR","SF","C","360","2","NA","","No","97201","45.507856","-122.690794"
